"","Student","StateFear","TraitFear","HeightEstimate","TraitFear_c","StateFear_c"
"1",37,1.94877199782922,1,37.2416619151203,-4.074126,-4.23665600217078
"2",16,2.40718451667597,5,30.0057158893981,-0.0741259999999997,-3.77824348332403
"3",33,2.68405545333795,4,34.4899147557096,-1.074126,-3.50137254666205
"4",38,3,3.24809050528975,62.8512482247137,-1.82603549471025,-3.185428
"5",43,3.07159442652743,9,50.2956304454694,3.925874,-3.11383357347257
"6",5,3.6,6.31045830343436,29.2133632021476,1.23633230343436,-2.585428
"7",2,3.69603168939714,5,49.5832219274449,-0.0741259999999997,-2.48939631060286
"8",7,3.86809011049014,6.40220001895675,46.4464204335188,1.32807401895675,-2.31733788950986
"9",1,3.98236592333507,1,39.8055506626303,-4.074126,-2.20306207666493
"10",36,4.17379328105487,3.52091744156511,46.4770552687231,-1.55320855843489,-2.01163471894513
"11",50,4.1816552214962,2,53.4468014687992,-3.074126,-2.0037727785038
"12",35,4.46943371362454,0,41.2680385474681,-5.074126,-1.71599428637546
"13",4,4.5470233994125,5.90203756541026,45.9630543076789,0.827911565410256,-1.6384046005875
"14",3,4.57347819758088,3.15019561871816,46.9138605414965,-1.92393038128184,-1.61194980241912
"15",40,4.75729583512683,8.67024297987131,36.3109081732213,3.59611697987131,-1.42813216487317
"16",13,4.82969933046925,6.95581601865542,65.985246904483,1.88169001865542,-1.35572866953075
"17",17,5.00119195590625,4.99651425579769,32.9298859305864,-0.0776117442023088,-1.18423604409374
"18",32,5.0159323073182,6.0958285376201,61.8473683242859,1.0217025376201,-1.1694956926818
"19",12,5.09952768161801,3.5532621172203,37.0042211250296,-1.5208638827797,-1.08590031838199
"20",34,5.61019264588777,7.81744496813809,46.8581736838709,2.74331896813809,-0.575235354112226
"21",44,5.6669040053782,1.31356895841953,54.5538207855977,-3.76055704158047,-0.518523994621796
"22",48,5.72768406839748,3.52599519245004,50.7399102015673,-1.54813080754996,-0.457743931602518
"23",20,5.82087476111069,10,56.5399172557038,4.925874,-0.36455323888931
"24",47,5.83617882122272,0.39160677698875,59.2565725912054,-4.68251922301125,-0.349249178777277
"25",10,5.93006257614234,8.23684571400337,46.4500430534936,3.16271971400337,-0.255365423857664
"26",22,6,4.80450817177178,40.1409144017509,-0.269617828228215,-0.185428
"27",9,6.0809368519515,7,47.9102416132368,1.925874,-0.104491148048498
"28",19,6.12709775447062,0.108079468397976,58.2323100210284,-4.96604653160202,-0.058330245529377
"29",27,6.64003305686932,1.6470368001122,47.6028311815077,-3.4270891998878,0.454605056869317
"30",15,6.99250239909925,7.21793785248273,44.9884916304128,2.14381185248273,0.807074399099247
"31",45,7.06974170475371,4.65069638216207,51.4243406910508,-0.423429617837931,0.884313704753713
"32",42,7.14586235009096,5,54.4776079593144,-0.0741259999999997,0.96043435009096
"33",14,7.19497338057686,6,40.2331008391414,0.925874,1.00954538057686
"34",28,7.36025523166063,3.49978964659844,46.4320734591487,-1.57433635340156,1.17482723166063
"35",24,7.64472259270686,4.15245062560635,47.0169020675217,-0.921675374393652,1.45929459270686
"36",31,7.71571541433457,3.77544151873791,49.9614265854754,-1.29868448126209,1.53028741433457
"37",18,7.90456554523956,6.74127671897616,61.346284625654,1.66715071897616,1.71913754523956
"38",6,8,2.70944685741446,30.2089569926396,-2.36467914258554,1.814572
"39",23,8,5.1466065579661,66.9872214305624,0.0724805579660996,1.814572
"40",46,8.02856723850289,5,46.4389058459959,-0.0741259999999997,1.84313923850289
"41",49,8.08452778622001,2.47338220897284,50.6662344432526,-2.60074379102716,1.89909978622001
"42",25,8.21433750317637,3.75674083018762,49.8349417296021,-1.31738516981238,2.02890950317637
"43",11,8.59744608642483,9.25355622703989,46.1876562163956,4.17943022703989,2.41201808642483
"44",26,8.80964576692915,10,65.2720022991944,4.925874,2.62421776692915
"45",8,9.00493772163139,6,68.2995423637036,0.925874,2.81950972163139
"46",41,9.15652967272005,8,49.6231171616599,2.925874,2.97110167272005
"47",30,10,5.82830808595766,39.0150375535407,0.754182085957655,3.814572
"48",29,10,4,57.7888929019958,-1.074126,3.814572
"49",39,10,10,65.1724351831515,4.925874,3.814572
"50",21,10,9.85,50.1591706881613,4.775874,3.814572
